INDEX (ID),SAMPLE_ID
X100B08,GSM79114
X101B88,GSM79115
X102B06,GSM79116
X103B41,GSM79117
X104B91,GSM79118
X105B13,GSM79119
X106B55,GSM79120
X10B88,GSM79121
X110B34,GSM79122
X111B51,GSM79123
X112B55,GSM79124
X113B11,GSM79125
X114B68,GSM79126
X11B47,GSM79127
X120B73,GSM79128
X122B81,GSM79129
X124B25,GSM79130
X127B00,GSM79131
X128B48,GSM79132
X130B92,GSM79133
X131B79,GSM79134
X134B33,GSM79135
X135B40,GSM79136
X136B04,GSM79137
X137B88,GSM79138
X138B34,GSM79139
X139B03,GSM79140
X13B79,GSM79141
X140B91,GSM79142
X142B05,GSM79143
X143B81,GSM79144
X144B49,GSM79145
X145B10,GSM79146
X146B39,GSM79147
X147B19,GSM79148
X148B49,GSM79149
X14B98,GSM79150
X150B81,GSM79151
X151B84,GSM79152
X152B99,GSM79153
X153B09,GSM79154
X154B42,GSM79155
X155B52,GSM79156
X156B01,GSM79157
X158B84,GSM79158
X159B47,GSM79159
X15C94,GSM79160
X160B16,GSM79161
X161B31,GSM79162
X162B98,GSM79163
X163B27,GSM79164
X164B81,GSM79165
X165B72,GSM79166
X166B79,GSM79167
X168B51,GSM79168
X169B79,GSM79169
X16C97,GSM79170
X170B15,GSM79171
X171B77,GSM79172
X172B19,GSM79173
X173B43,GSM79174
X174B41,GSM79175
X175B72,GSM79176
X176B74,GSM79177
X177B67,GSM79178
X178B74,GSM79179
X179B28,GSM79180
X17C40,GSM79181
X180B38,GSM79182
X181B70,GSM79183
X182B43,GSM79184
X183B75,GSM79185
X184B38,GSM79186
X185B44,GSM79187
X186B22,GSM79188
X187B36,GSM79189
X188B13,GSM79190
X189B83,GSM79191
X18C56,GSM79192
X191B79,GSM79193
X192B69,GSM79194
X193B72,GSM79195
X194B60,GSM79196
X195B75,GSM79197
X196B81,GSM79198
X197B95,GSM79199
X198B90,GSM79200
X199B55,GSM79201
X19C33,GSM79202
X200B47,GSM79203
X201B68,GSM79204
X202B44,GSM79205
X203B49,GSM79206
X204B85,GSM79207
X205B99,GSM79208
X206C05,GSM79209
X207C08,GSM79210
X208C06,GSM79211
X209C10,GSM79212
X210C72,GSM79213
X211C88,GSM79214
X212C21,GSM79215
X213C36,GSM79216
X216C61,GSM79217
X217C79,GSM79218
X218C29,GSM79219
X21C28,GSM79220
X220C70,GSM79221
X221C14,GSM79222
X222C26,GSM79223
X223C51,GSM79224
X224C93,GSM79225
X225C52,GSM79226
X226C06,GSM79227
X227C50,GSM79228
X229C44,GSM79229
X22C62,GSM79230
X230C47,GSM79231
X231C80,GSM79232
X232C58,GSM79233
X233C91,GSM79234
X234C15,GSM79235
X235C20,GSM79236
X236C55,GSM79237
X237C56,GSM79238
X238C87,GSM79239
X239C32,GSM79240
X23C52,GSM79241
X240C54,GSM79242
X241C01,GSM79243
X242C21,GSM79244
X243C70,GSM79245
X244C89,GSM79246
X245C22,GSM79247
X246C75,GSM79248
X247C76,GSM79249
X248C91,GSM79250
X249C42,GSM79251
X24C30,GSM79252
X250C78,GSM79253
X251C14,GSM79254
X252C64,GSM79255
X253C20,GSM79256
X254C80,GSM79257
X255C06,GSM79258
X256C45,GSM79259
X257C87,GSM79260
X258C21,GSM79261
X259C74,GSM79262
X260C91,GSM79263
X261C94,GSM79264
X262C85,GSM79265
X263C82,GSM79266
X265C40,GSM79267
X266C51,GSM79268
X267C04,GSM79269
X268C87,GSM79270
X269C68,GSM79271
X26C23,GSM79272
X270C93,GSM79273
X271C71,GSM79274
X272C88,GSM79275
X274C81,GSM79276
X275C70,GSM79277
X277C64,GSM79278
X278C80,GSM79279
X279C61,GSM79280
X27C82,GSM79281
X280C43,GSM79282
X282C51,GSM79283
X283C22,GSM79284
X284C63,GSM79285
X286C91,GSM79286
X287C67,GSM79287
X288C57,GSM79288
X289C75,GSM79289
X28C76,GSM79290
X290C91,GSM79291
X291C17,GSM79292
X292C66,GSM79293
X294C04,GSM79294
X296C95,GSM79295
X297C26,GSM79296
X298C47,GSM79297
X301C66,GSM79298
X303C36,GSM79299
X304C89,GSM79300
X307C50,GSM79301
X308C93,GSM79302
X309C49,GSM79303
X311A27,GSM79304
X313A87,GSM79305
X314B55,GSM79306
X315C75,GSM79307
X316C65,GSM79308
X33C30,GSM79309
X34C80,GSM79310
X35C29,GSM79311
X36C17,GSM79312
X37C06,GSM79313
X39C24,GSM79314
X40C57,GSM79315
X41C65,GSM79316
X42C57,GSM79317
X43C47,GSM79318
X44A53,GSM79319
X45A96,GSM79320
X46A25,GSM79321
X47A87,GSM79322
X48A46,GSM79323
X49A07,GSM79324
X50A91,GSM79325
X51A98,GSM79326
X52A90,GSM79327
X53A06,GSM79328
X54A09,GSM79329
X55A79,GSM79330
X56A94,GSM79331
X58A50,GSM79332
X5B97,GSM79333
X60A05,GSM79334
X61A53,GSM79335
X62A02,GSM79336
X63A62,GSM79337
X64A59,GSM79338
X65A68,GSM79339
X66A84,GSM79340
X67A43,GSM79341
X69A93,GSM79342
X6B85,GSM79343
X70A79,GSM79344
X72A92,GSM79345
X73A01,GSM79346
X74A63,GSM79347
X75A01,GSM79348
X76A44,GSM79349
X77A50,GSM79350
X79A35,GSM79351
X7B96,GSM79352
X82A83,GSM79353
X84A44,GSM79354
X85A03,GSM79355
X86A40,GSM79356
X87A79,GSM79357
X88A67,GSM79358
X8B87,GSM79359
X90A63,GSM79360
X94A16,GSM79361
X96A21,GSM79362
X99A50,GSM79363
X9B52 ,GSM79364
